Match,Team,No.,Name,Role
01,CRO,5,DUVNJAK Domagoj,FP
02,BLR,16,SALDATSENKA Viachaslau,FP
03,,,"
 ",FP
04,CRO,18,KARACIC Igor,FP
05,,,"
 ",FP
06,BLR,55,VAILUPAU Mikita,FP
07,AUT,53,BILYK Mykola,FP
08,MKD,11,TALESKI Filip,FP
09,AUT,7,BOZOVIC Janko,FP
10,CZE,16,GALIA Martin,FP
11,CZE,19,BABAK Tomas,FP
12,AUT,40,EICHBERGER Thomas,FP
13,LAT,10,KRISTOPANS Dainis,FP
14,NED,12,STEINS Luc,FP
15,NED,21,SMITS Kay,FP
16,ESP,1,PEREZ DE VARGAS MORENO Gonzalo,FP
17,ESP,12,CORRALES RODAL Rodrigo,FP
18,GER,95,DRUX Paul,FP
19,POR,14,SILVA Rui,FP
20,NOR,5,SAGOSEN Sander,FP
21,,,"
 ",FP
22,FRA,23,FABREGAS Ludovic,FP
23,FRA,28,PORTE Valentin,FP
24,NOR,30,BERGERUD Torbjoern Sittrup,FP
25,ISL,4,PALMARSSON Aron,FP
26,HUN,16,MIKLER Roland,FP
27,ISL,28,KRISTJANSON Viggo,FP
28,DEN,5,BRAMMING Magnus,FP
29,RUS,99,KOSOROTOV Sergei Mark,FP
30,HUN,16,MIKLER Roland,FP
31,SWE,12,PALICKA Andreas,FP
32,SLO,26,FERLIN Klemen,FP
33,SUI,2,SCHMID Andre,FP
34,SLO,44,BOMBAC Dean,FP
35,SWE,24,GOTTFRIDSSON Jim,FP
36,SLO,26,FERLIN Klemen,FP
37,ESP,1,PEREZ DE VARGAS MORENO Gonzalo,FP
38,GER,73,KASTENING Timo,FP
39,CRO,7,STEPANCIC Luka,FP
40,ESP,5,MAQUEDA PENA Jorge,FP
41,CRO,18,KARACIC Igor,FP
42,CZE,27,ZDRAHALA Ondrej,FP
43,CZE,1,MRKVA Tomas,FP
44,ESP,1,PEREZ DE VARGAS MORENO Gonzalo,FP
45,GER,1,BITTER Johannes,FP
46,CRO,18,KARACIC Igor,FP
47,BLR,50,KARALEK Artsem,FP
48,,,"
 ",FP
49,SLO,44,BOMBAC Dean,FP
50,POR,1,QUINTANA Alfredo,FP
51,NOR,23,JOHANNESSEN Goeran,FP
52,HUN,27,BANHIDI Bence,FP
53,NOR,30,BERGERUD Torbjoern Sittrup,FP
54,ISL,15,PETERSSON Alexander,FP
55,ISL,16,HALLGRIMSSON Viktor Gisli,FP
56,SLO,11,DOLENEC Jure,FP
57,SWE,24,GOTTFRIDSSON Jim,FP
58,NOR,44,GULLIKSEN Kevin Maageroe,FP
59,POR,25,AREIA Antonio,FP
60,SWE,20,APPELGREN Mikael,FP
61,ESP,9,ENTRERRIOS RODRIGUEZ Raul,FP
62,CRO,5,DUVNJAK Domagoj,FP
63,GER,35,KÃ¼HN Julius,FP
64,NOR,17,JOENDAL Magnus,FP
65,CRO,5,DUVNJAK Domagoj,FP
